url,FileSize,NumOfOutLink,ContentType
https://www.c-span.org/search/?edate=02%2F20%2F2018&sdate=02%2F17%2F2018&searchtype=Videos&sort=Most%2BPopular,71 KB,98,text/html
https://www.c-span.org/series/browse/,39 KB,91,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=47,39 KB,106,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=74,38 KB,106,text/html
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7592,12 KB,67,text/html
https://www.c-span.org/classroom/document/?7726,13 KB,74,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=165,71 KB,96,text/html
https://www.c-span.org/networks/,31 KB,67,text/html
https://www.c-span.org/about/history/,34 KB,60,text/html
https://www.c-span.org/about/milestones/,67 KB,101,text/html
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=5698,64 KB,97,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=75,39 KB,106,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=48,39 KB,106,text/html
https://www.c-span.org/classroom/document/?7727,13 KB,73,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=168,70 KB,96,text/html
https://www.c-span.org/supremeCourt/,50 KB,112,text/html
https://www.c-span.org/executiveBranch/,54 KB,127,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=72,39 KB,104,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=45,39 KB,106,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=167,70 KB,96,text/html
https://www.c-span.org/search/?cspan_created%5B%5D=0&edate&sdate&searchtype=Clips&sort=Newest,56 KB,94,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=4246,71 KB,96,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=73,39 KB,106,text/html
https://www.c-span.org/search/?edate=02%2F20%2F2018&featured%5B%5D=1&sdate=02%2F01%2F2017&searchtype=Clips&sort=Newest,60 KB,96,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=46,39 KB,107,text/html
