url,httpStatusCode
https://www.c-span.org/classroom/document/?7659,307
https://www.c-span.org/classroom/document/?7655,307
https://www.c-span.org/blog/?4140%2fhighlights-presidents-day-weekend-feb-1720,301
https://www.c-span.org/classroom/search/?topicids%5b%5d=56,200
https://www.c-span.org/classroom/contact/,200
https://www.c-span.org/series/?newsmakers,200
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=23,200
https://www.c-span.org/series/?tocqueville,200
https://www.c-span.org/video/?c4714819%2fjack-abramoff-campaign-contributions-bribes,301
https://www.c-span.org/video/?440756-1%2fqa-kate-bowler,301
https://www.c-span.org/classroom/document/?7702,200
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=263,200
https://www.c-span.org/video/?440890-1%2fwhite-house-budget-director-mulvaney-testifies-fiscal-year-2019-budget,301
https://www.c-span.org/classroom/document/?7423,307
https://www.c-span.org/classroom/document/?7422,307
https://www.c-span.org/search/?searchtype=clips&sort=most%20popular&tagid%5b%5d=1069,200
https://www.c-span.org/classroom/document/?7664,307
https://www.c-span.org/classroom/document/?7541,307
https://www.c-span.org/classroom/search/?topicids%5b%5d=76,200
https://www.c-span.org/classroom/search/?topicids%5b%5d=57,200
https://www.c-span.org/series/?indepth,200
https://www.c-span.org/about/contactus/,200
https://www.c-span.org/about/copyrightsandlicensing/,200
https://www.c-span.org/video/?437979-1%2fbarking-choir,301
https://www.c-span.org/video/?440473-1%2farthur-vandenberg,301
http://www.c-span.org/,301
https://www.c-span.org/video/?438587-3%2fauthor-satirist-dave-barry,301
https://www.c-span.org/congress/,200
https://www.c-span.org/video/?437282-1%2fthe-accidental-president,301
http://c-span.org/,301
https://www.c-span.org/video/?439484-1%2fwhat-editors-do,301
https://www.c-span.org/series/?bookfairs,200
https://www.c-span.org/video/?438587-6%2fauthor-discussion-crime,301
https://www.c-span.org/video/?440281-1%2fmayor,301
https://www.c-span.org/classroom/register/,200
https://www.c-span.org/video/?441245-4%2fwashington-journal-howard-kurtz-discusses-president-trumps-relationship-news-media,301
https://www.c-span.org/video/?436827-2%2ftour-regnery-publishing,301
https://www.c-span.org/video/?441368-2%2frepresentative-gowdy-russia-investigation,301
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=163,200
https://www.c-span.org/video/?440230-6%2fwashington-journal-lt-gov-kevin-bryant-discusses-key-issues-south-carolina,301
https://www.c-span.org/classroom/lessons/,307
https://www.c-span.org/video/?440898-1%2fwhite-house-budget-director-mulvaney-testifies-fiscal-year-2019-budget,301
https://www.c-span.org/classroom/search/?topicids%5b%5d=77,200
https://www.c-span.org/video/?441365-2%2frepresentative-schiff-russia-investigation,301
https://www.c-span.org/video/?437703-1%2fthe-alls,301
https://www.c-span.org/classroom/myc-spanclassroom/,302
https://www.c-span.org/search/?sort=newest&tagid%5b%5d=5698,200
https://www.c-span.org/video/?437023-1%2fafter-words-christopher-scalia,301
https://www.c-span.org/video/?441245-3%2fwashington-journal-lanny-davis-discusses-role-fbi-director-comey-2016-elections,301
https://www.c-span.org/classroom/document/?7430,307
https://www.c-span.org/video/?437010-1%2fthe-fighter-pilot,301
https://www.c-span.org/video/?441337-1%2fgeorge-polk-awards-forum-discusses-russia-investigation,301
https://www.c-span.org/video/?439498-1%2fafter-words-kayleigh-mcenany,301
https://www.c-span.org/series/?presidents,200
https://www.c-span.org/search/?edate=02%2f20%2f2018&sdate=02%2f17%2f2018&searchtype=videos&sort=most%2bpopular,200
https://www.c-span.org/series/?afterwords,200
https://www.c-span.org/video/?440648-1%2fthis-day-presidential-history,301
https://www.c-span.org/classroom/login/?redir=classroom%2fdocument%2f%3f7422,200
https://www.c-span.org/video/?440597-1%2four-germans,301
https://www.c-span.org/classroom/search/?topicids%5b%5d=74,200
https://www.c-span.org/classroom/search/?topicids%5b%5d=47,200
https://www.c-span.org/series/?campaign2016,200
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=165,200
https://www.c-span.org/video/?441441-1%2fheather-nauert-briefs-reporters-state-department,301
https://www.c-span.org/video/?c4715369%2fpresident-trump-orders-steps-ban-bump-stocks,301
https://www.c-span.org/video/?440432-6%2fwashington-journal-lt-gov-casey-cagle-discusses-key-issues-georgia,301
https://www.c-span.org/video/?440914-1%2fhhs-secretary-azar-testifies-fiscal-year-2019-budget,301
https://www.c-span.org/series/browse/,200
https://www.c-span.org/video/?c4715347%2fambassador-nikki-haley-tells-palestinian-president-us-stands-ready-talk,301
https://www.c-span.org/controllers/follow/?tag%2f5709,302
https://www.c-span.org/video/?c4715330%2fmahmoud-abbas-calls-us-embassy-move-jerusalem-unlawful,301
https://www.c-span.org/classroom/login/?redir=classroom%2fdocument%2f%3f7592,200
https://www.c-span.org/classroom/document/?7726,200
https://www.c-span.org/video/?441245-2%2fwashington-journal-news-headlines-viewer-calls,301
http://www.c-span.org/landmarkcases,301
https://www.c-span.org/classroom/search/?topicids%5b%5d=75,200
https://www.c-span.org/classroom/search/?topicids%5b%5d=48,200
https://www.c-span.org/search/?searchtype=clips&sort=most%20popular&tagid%5b%5d=5698,200
https://www.c-span.org/networks/,200
https://www.c-span.org/video/?437490-1%2fafter-words-patrisse-khan-cullors,301
https://www.c-span.org/about/history/,200
https://www.c-span.org/about/milestones/,200
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=168,200
https://www.c-span.org/video/?441115-6%2fwashington-journal-arkansas-governor-asa-hutchinson-discusses-key-public-policy-issues,301
https://www.c-span.org/executivebranch/,200
https://www.c-span.org/supremecourt/,200
https://www.c-span.org/classroom/search/?topicids%5b%5d=72,200
https://www.c-span.org/classroom/document/?7727,200
https://www.c-span.org/classroom/search/?topicids%5b%5d=45,200
https://www.c-span.org/video/?437981-1%2fthe-lives-james-madison,301
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=167,200
https://www.c-span.org/video/?439819-1%2fdepth-colson-whitehead,301
https://www.c-span.org/video/?440288-1%2fa-beautiful-terrible-history,301
https://www.c-span.org/controllers/follow/?tag%2f1069,302
https://www.c-span.org/search/?seriesid%5b%5d=5&sort=newest&tagid%5b%5d=4246,200
https://www.c-span.org/video/?441434-1%2fwhite-house-clear-russia-meddled-election,301
